2|OB-S2004|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=CF2ED142300024|cDVT, Intel 80G|10.62.34.180|10.62.34.181|00:60:16:6f:9e:c6|00:60:16:6f:9e:c2||10.62.34.99 8906|10.62.34.99 8907|13|||10.62.34.182|10.62.34.183|OBERON|/images/OS-upc_platdev_cs_build_590_debug.tgz.bin
3|OB-S2006|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=CF2FH142400034|cDVT, SM 64G|10.62.34.244|10.62.34.245|00:60:16:6f:9e:8a|00:60:16:6f:9e:6a|10.62.34.248|10.62.34.99 8910|10.62.34.99 8911||||10.62.34.246|10.62.34.247|OBERON|/images/OS-upc_platdev_cs-4.0.0.5906301.5906301.1438060619-GNOSIS_DEBUG.tgz.bin
4|OB-S2008|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FNM00144500634|DVT, Config 1 (6C, 1.60GHz, 24GB), SM 64G|10.62.34.165|10.62.34.166|00:60:16:6f:b2:7a|00:60:16:6f:b2:82|10.62.34.169|10.62.34.99 8914|10.62.34.99 8915|21|||10.62.34.167|10.62.34.168|OBERON|
5|OB-S2009|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FNM00144500639|DVT, Config 4 (10C, 2.6GHz, 64GB), Intel 120G|10.62.34.5|10.62.34.6|00:60:16:6f:ad:c6|00:60:16:6f:ab:f2|10.62.34.9|10.62.34.99 8916|10.62.34.99 8917|15|||10.62.34.7|10.62.34.8|OBERON|/images/OS-upc_platdev_cs-4.0.0.5906301.5906301.1438060619-GNOSIS_DEBUG.tgz.bin
6|OB-S2010|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FNM00144500616|DVT, Config 4|10.62.34.185|10.62.34.186|00:60:16:6f:b1:32|00:60:16:6f:b3:26|10.62.34.189|10.62.34.99 8918|10.62.34.99 8919 |17|||10.62.34.187|10.62.34.188|OBERON|/images/OS-upc_platdev_cs-3.2.0.5737432.5737432.1435259199-GNOSIS_DEBUG.tgz.bin
7|OB-S2011|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FNM00144500615|DVT, Config 3 (8C, 2.40GHz, 48GB), Intel 80G|10.62.34.94|10.62.34.95|00:60:16:6f:b0:da|00:60:16:6f:b3:1a|10.62.34.98|10.62.34.99 8920|10.62.34.99 8921|48|||10.62.34.96|10.62.34.97|OBERON|
8|OB-S2012|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FNM00144500852|DVT, Config 3 (8C, 2.40GHz, 48GB), Intel 80G, POR PS|10.62.34.190|10.62.34.191|00:60:16:6f:b0:ce|00:60:16:6f:b3:5e|10.62.34.194|10.62.34.99 8922|10.62.34.99 8923|14||Lyndon|10.62.34.192|10.62.34.193|OBERON|
9|OB-S2013|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FNM00144500854|DVT, Config 3 (8C, 2.40GHz, 48GB), Intel 80G, PSU and SLICs from Andy (GHE)|10.62.34.205|10.62.34.206|00:60:16:6f:b3:46|00:60:16:6f:b3:22|10.62.34.209|10.62.34.99 8924|10.62.34.99 8925|14|||10.62.34.207|10.62.34.208|OBERON|/images/OS-upc_platdev_cs_build_590_debug.tgz.bin
10|OB-S2005|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=CF2ED142500004|cDVT, Config 1, SM 64G, FC connected|10.62.34.140|10.62.34.141|00:60:16:6f:9e:ca|00:60:16:6f:9e:be|10.62.34.14|10.62.34.99 8906|10.62.34.99 8907|45|28||10.62.34.142|10.62.34.143|OBERON|
11|OB-S2007|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=CF2ED142500033|cDVT, SM 64G|10.62.34.249|10.62.34.250|00:60:16:6f:9e:24|00:60:16:6f:9e:e6|10.62.34.253|10.62.34.99 8912|10.62.34.99 8913|48|||10.62.34.251|10.62.34.252|OBERON|/images/OS-platdev_20150618_luy14R-4.0.0.5866614.5849226-GNOSIS_DEBUG.tgz.bin
12|BC-Z1009|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FCNBE123800091|BC-1|10.62.54.101|10.62.54.102|00:60:16:58:e0:8c|00:60:16:58:e0:90|10.62.54.105|10.62.34.99 8800|10.62.34.99 8801|20|||10.62.54.103|10.62.54.104|BEACHCOMBER|
13|BC-Z1000|https://thehub.corp.emc.com/utilities/swarm#systemDetails::storagesystem=FCNBE123800064|BC-2|10.62.54.86|10.62.54.87|00:60:16:58:e0:94|00:60:16:58:e0:98|10.62.54.90|10.62.34.99 8802|10.62.34.99 8803|53|||10.62.54.88|10.62.54.89|BEACHCOMBER|/images/OS-upc_unity_bearcat_cs-4.0.0.5821103.5821103-GNOSIS_RETAIL.tgz.bin
14|PDU port1|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|OB-S2010-SPA||||||||17||||||
