------------------------------------------------------------------------------------------------------------
New Name	Old Name	IP_MGMT		IP_SPA		IP_SPB		IP_BMCA		IP_BMCB
------------------------------------------------------------------------------------------------------------
OB-S2014                            10.62.34.91     10.62.34.92     10.62.34.235    10.62.34.236
OB-S2004                            10.62.34.180    10.62.34.181    10.62.34.182    10.62.34.183
OB-S2005                            10.62.34.140    10.62.34.141    10.62.34.142    10.62.34.143
OB-S2007                            10.62.34.249    10.62.34.250    10.62.34.251    10.62.34.252
OB-S2008                            10.62.34.165    10.62.34.166    10.62.34.167    10.62.34.168
OB-S2009                            10.62.34.5      10.62.34.6      10.62.34.7      10.62.34.8
OB-S2010                            10.62.34.185    10.62.34.186    10.62.34.187    10.62.34.188
OB-S2011                            10.62.34.94     10.62.34.95     10.62.34.96     10.62.34.97
OB-S2012                            10.62.34.190    10.62.34.191    10.62.34.192    10.62.34.193
OB-S2013                            10.62.34.205    10.62.34.206    10.62.34.207    10.62.34.208         
OB-S2006                            10.62.34.244    10.62.34.245    10.62.34.246    10.62.34.247 
Bearcat-00                          10.62.54.93  	10.62.54.94  	10.62.54.95  	10.62.54.96
Bearcat-01                          10.62.54.172    10.62.54.173	10.62.54.174	10.62.54.175
Bearcat-02                          10.62.54.97	    10.62.54.98	    10.62.54.99	    10.62.54.100
Bearcat-03                          10.62.54.176	10.62.54.177	10.62.54.178	10.62.54.179
Bearcat-04                          10.62.54.141	10.62.54.142	10.62.54.143	10.62.54.144
Bearcat-05                          10.62.54.136	10.62.54.137	10.62.54.138	10.62.54.139
Bearcat-06                          10.62.54.107	10.62.54.108	10.62.54.109	10.62.54.110
Bearcat-07                          10.62.54.145	10.62.54.146	10.62.54.147	10.62.54.148
Bearcat-08                          10.62.54.121	10.62.54.122	10.62.54.123	10.62.54.124
Bearcat-09                          10.62.54.125	10.62.54.126	10.62.54.127	10.62.54.128
Bearcat-10                          10.62.54.129	10.62.54.130	10.62.54.131	10.62.54.132
Bearcat-11                          10.62.54.117	10.62.54.118	10.62.54.119	10.62.54.120
BC-Z1000                            10.62.54.86  	10.62.54.87 	10.62.54.88  	10.62.54.89
BC-Z1009                            10.62.54.101    10.62.54.102    10.62.54.103    10.62.34.104			
------------------------------------------------------------------------------------------------------------
